case_id,text,outcome
1,我已经多次反映小区垃圾分类设施严重不足，居民投放无序，希望政府尽快处理这个问题。,1
2,这个新出台的住房补贴政策解释不清楚，居民不知道应该如何申请，希望相关部门给出明确指引。,1
3,我们社区居民愿意配合街道办开展垃圾分类宣传活动，并可以协助志愿者排班和物资准备。,1
4,小区门口的违规停车问题长期没人管，每天都堵得水泄不通，简直让人忍无可忍。,0
5,关于新出台的人才落户政策，希望政府明确高校应届毕业生的具体认定标准和办理流程。,1
6,我们愿意提供本地老年人活动场地的志愿管理服务，希望街道办能将我们纳入合作伙伴名单。,1
7,新建公园的儿童设施年久失修，多次投诉无人处理，真的非常令人失望。,0
8,请问最新的小微企业税收减免政策具体覆盖哪些行业？申请材料是否可以线上提交？,1
9,我们居民自发组织了社区清洁队，希望能够与环卫部门建立常态化的协作机制。,1
10,菜市场旁边的污水井常年外溢，气味难闻，反映多次毫无改善，对此非常不满。,0
11,关于公租房轮候名单更新规则希望有更清晰的说明，目前的告示对申请条件描述含糊。,1
12,社区健身中心闲置时段较多，我们家长群愿意组织亲子活动并承担安全管理责任。,1
13,公交线路调整后高峰期严重拥挤，居民出行困难，这种规划安排让我非常生气。,0
14,新颁布的电动车管理规定中关于过渡期限的描述有歧义，希望主管部门给出具体细则。,1
15,本地大学生协会愿意协助社区开展数字素养课程，可以提供志愿教师和培训材料。,1
16,周边工地夜间施工噪音扰民非常严重，多次拨打投诉电话都没有得到任何实质处理。,0
17,关于公共图书馆开放时间调整一事，希望管理方说明决策依据并征求市民意见。,1
18,我们退休教师团体愿意承担社区课后辅导工作，希望与教育部门探讨长期合作模式。,1
19,小区内野猫聚集严重，影响居民健康，社区物业推诿不管，处理方式令人极度失望。,0
20,关于近期医保报销目录的调整，希望卫健委尽快公开调整明细以便居民理解和规划。,1
21,本地摄影爱好者协会愿意为政府举办的公益展览提供志愿拍摄和影像存档支持。,1
22,小学门口红绿灯长期不亮危及学生安全，反映多次没人维修，部门之间互相推诿。,0
23,关于新建社区医院的科室设置和挂号流程，希望卫生部门提供清晰的指引和咨询窗口。,1
24,社区互助养老小组愿意配合街道办开展独居老人定期探访工作，并承担日常排班。,1
25,辖区水库长期未清淤导致雨季严重内涝，对相关部门多年来的不作为深感愤慨。,0
26,关于电动车上牌政策细则，希望公安部门明确不同车型的检测要求与办理时限。,1
27,我们家长志愿者团体愿意协助学校组织校园安全巡查并参与日常秩序维护。,1
28,公园广场舞噪声扰民问题久拖不决，社区居民反映多次仍无明显改善，非常无奈。,0
29,关于住宅小区充电桩安装审批流程，希望能进一步简化并公布明确的办理指引。,1
30,本地非遗传承人愿意走进社区开展免费教学课程，并提供完整的活动方案和材料。,1
31,菜场涨价问题严重，监管部门对商户的不规范定价行为长期睁一只眼闭一只眼。,0
32,关于学龄前儿童体检的免费项目范围，希望疾控中心整理一份清晰的说明文件。,1
33,我们文化志愿者团队愿意协助博物馆开展讲解工作，并提供志愿排班和培训方案。,1
34,小区地下车库长期渗水无人维护，多次投诉都被物业敷衍，居民利益严重受损。,0
35,关于人才公寓续租流程，希望住房保障部门发布完整的材料清单和办理时间表。,1
36,本地社工机构愿意配合政府开展心理健康宣传周活动，提供专业讲师和场地协调。,1
37,工业园区违规排放问题长期没人查处，环保部门的不作为让周边居民身心俱疲。,0
38,关于公交IC卡老年优惠的认证流程，希望相关部门简化材料并增加办理网点。,1
39,我们书法爱好者协会愿意为社区文化中心提供长期的志愿教学和展览服务。,1
40,小区电梯多次故障险些发生安全事故，物业和监管部门均无实质处理回应。,0
